Date,Close/Last,Volume,Open,High,Low
05/02/2025,$435.28,30757430,$431.74,$439.44,$429.985
05/01/2025,$425.40,58938100,$431.11,$436.99,$424.90
04/30/2025,$395.26,36461080,$390.30,$396.66,$384.44
04/29/2025,$394.04,14973980,$391.30,$395.10,$390.38
04/28/2025,$391.16,16579430,$391.955,$392.74,$386.638
04/25/2025,$391.85,18973170,$387.00,$392.16,$384.60
04/24/2025,$387.30,22232290,$375.695,$388.45,$375.19
04/23/2025,$374.39,20545530,$376.06,$380.39,$373.02
04/22/2025,$366.82,19484990,$363.375,$367.77,$359.8602
04/21/2025,$359.12,20807280,$362.815,$364.48,$355.67
04/17/2025,$367.78,21120190,$373.745,$374.3215,$366.89
04/16/2025,$371.61,21967830,$380.67,$381.61,$368.00
04/15/2025,$385.73,17199890,$388.505,$391.89,$384.1599
04/14/2025,$387.81,19251170,$393.22,$394.65,$384.21
04/11/2025,$388.45,23839220,$380.635,$390.05,$378.89
04/10/2025,$381.35,38024370,$382.06,$383.90,$367.80
04/09/2025,$390.49,50199700,$353.535,$393.225,$353.10
04/08/2025,$354.56,35868920,$368.255,$373.65,$350.25
04/07/2025,$357.86,50425000,$350.88,$370.9999,$344.79
04/04/2025,$359.84,49209850,$364.125,$374.59,$359.48
04/03/2025,$373.11,30198000,$374.785,$377.48,$369.35
